Observation_ID,Station,Instrument,Center_Frequencies,Size_MB,File_Label,Start_UTC,End_UTC,Direct_Download_URL,Scraped_Page
167207,pa0rwt Grape-1 DRF,Flex-1500,14.670 MHz,34.1753,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-22 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167207/,1
167209,N4RVE,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",4.8713,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167209/,1
167219,W1EUJ,RX888_Palomar,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",4.5650,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167219/,1
167220,KFS_NW,NW RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",8.2153,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167220/,1
167225,AC0G_ND,RX888_ND,"10.000 MHz, 5.000 MHz, 15.000 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",30.5451,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167225/,1
167226,K9TRV RX888-1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.8936,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167226/,1
167228,AC0G_B2,RX888-ka9q,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",15.3501,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167228/,1
167229,WA2TP-2,RX888#1,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",35.4846,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167229/,1
167230,G4HZX-Loop,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",22.7875,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167230/,2
167232,G4HZX-Main,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.0248,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167232/,2
